stage	command	primary_expected_output	notes
00_source_audit	python3 scripts/audit_public_sources.py	results/phase0_source_audit.tsv	Confirms public-resource feasibility.
01_download_core	python3 scripts/download_phase1_files.py phase1_core curl	data/raw_downloads/	Downloads core GWAS and bulk matrices; rerun audits before analysis.
02_download_metadata	python3 scripts/download_geo_family_soft.py && python3 scripts/download_gpl570_annotation.py	data/raw_metadata/	Fetches GEO family metadata and GPL570 annotation.
03_gwas_scan	python3 scripts/gwas_signal_scan.py && python3 scripts/extract_gwas_snps_for_mapping.py	results/gwas/	Scans SNP-level signals and prepares rsIDs for coordinate mapping.
04_gwas_mapping	python3 scripts/map_gwas_rsids_ensembl.py && python3 scripts/audit_gwas_coordinate_mapping.py	results/gwas/ensembl_grch38_variant_coordinates.tsv	Requires Ensembl REST network access.
05_candidate_universe	python3 scripts/build_coordinate_window_loci.py && python3 scripts/compare_coordinate_window_loci.py && python3 scripts/build_coordinate_window_neighborhoods.py && python3 scripts/map_neighborhood_genes_ensembl.py && python3 scripts/ensembl_pairwise_ld_sensitivity.py && python3 scripts/summarize_ld_supported_neighborhoods.py && python3 scripts/build_gwas_candidate_gene_universe.py	results/gwas/gwas_candidate_gene_universe.tsv	Creates genetics-derived 102-gene candidate universe.
06_bulk_layers	python3 scripts/audit_candidate_gene_bulk_presence.py && python3 scripts/extract_bulk_candidate_expression.py && Rscript scripts/run_bulk_candidate_models.R && python3 scripts/build_bulk_expression_support_score.py	results/bulk/bulk_candidate_expression_support_scores.tsv	Runs candidate-level bulk models; R requires limma/edgeR.
07_singlecell_sources	python3 scripts/download_small_sc_support_files.py && python3 scripts/audit_singlecell_sources.py	results/singlecell/singlecell_source_readiness_audit.md	Checks single-cell resource readiness.
08_gse179640_layers	python3 scripts/audit_gse179640_tar_and_metadata.py && python3 scripts/qc_gse179640_cells.py && python3 scripts/annotate_gse179640_broad_compartments.py && python3 scripts/run_gse179640_compartment_pseudobulk_tests.py && python3 scripts/build_gse179640_singlecell_evidence_matrix_v2.py	results/singlecell/GSE179640_singlecell_candidate_evidence_matrix_v2.tsv	Conservative broad-compartment localisation, not final cell-state DE.
09_adenomyosis_layers	python3 scripts/audit_zenodo17078290_h5ad.py && python3 scripts/summarize_zenodo17078290_candidate_expression.py	results/singlecell/Zenodo17078290_candidate_localization_matrix.tsv	Uses h5ad as scRNA/cell-label evidence only, not spatial evidence.
10_cross_disease	python3 scripts/analyze_gse203191_cellstate_proportions.py && python3 scripts/build_cross_disease_singlecell_localization_matrix.py	results/integration/cross_disease_singlecell_localization_matrix.tsv	Builds cross-disease cell-label evidence layer.
11_actionability	python3 scripts/query_target_actionability_sources.py --refresh --sleep 0.10	results/druggability/target_actionability_scores.tsv	Queries Open Targets, DGIdb and ChEMBL; network required.
12_prioritisation	python3 scripts/build_preliminary_target_priority_matrix.py && python3 scripts/run_rank_stability_sensitivity.py && python3 scripts/query_phase14_pubmed_literature.py --retmax 8 --sleep 0.35 && python3 scripts/build_phase14_manual_target_review.py && python3 scripts/make_phase14_tables_and_figure6.py	results/tables/table_final_target_shortlist.tsv	Builds experimental-hypothesis shortlist, literature review table and Figure 6 source data.
13_figures_and_supplementary_matrices	python3 scripts/make_phase18_figures1_5.py && python3 scripts/build_phase30_submission_enhancement_tables.py	results/figures/	Regenerates manuscript-facing figures and supplementary matrix checksums; manuscript/DOCX packaging is intentionally excluded from GitHub.
